technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
LOHC loaded DBT storage,,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,151.5383,30.0,,,,,,,,,,,,,,,,,0.0,21.68307034118782
LOHC transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,35000000.0,15.0,,,,,,,,,,,,,,,,,0.0,5592811.8645352265
LOHC unloaded DBT storage,,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,134.2745,30.0,,,,,,,,,,,,,,,,,0.0,19.212855288252698
Lead-Acid-bicharger,,,,0.0,,2.4245,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8832,,,,,,,,,0.0,,,,,,139292.4203,12.0,,,,,,,,,,,,,,,,,0.0,20914.337450514435
Lead-Acid-store,,,,0.0,,0.2464,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,342960.6179,12.0,,,,,,,,,,,,,,,,,0.0,44024.478786470194
Liquid fuels ICE (passenger cars),,,,0.0,,1.6,,,0.0,,,,,,,,,,,,,,0.07,,,,0.215,,,,,,,,,0.0,,,,,,24309.0,15.0,,,,,,,,,,,,,,,,,0.0,3057.941531856767
Liquid fuels ICE (trucks),,,,0.0,,17.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.373,,,,,,,,,0.0,,,,,,102543.0,15.0,,,,,,,,,,,,,,,,,0.0,29203.695200715305
Liquid-Air-charger,,,,0.0,,0.366,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,489692.4838,35.0,,,,,,,,,,,,,,,,,0.0,39613.16402493737
Liquid-Air-discharger,,,,0.0,,0.5212,,,0.0,,,,,,,,,,,,,,0.07,,,,0.55,,,,,,,,,0.0,,,,,,343826.6375,35.0,,,,,,,,,,,,,,,,,0.0,28347.11708157746
Liquid-Air-store,,,,0.0,,0.3244,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,172876.939,35.0,,,,,,,,,,,,,,,,,0.0,13912.783321085193
Lithium-Ion-LFP-bicharger,,,,0.0,,2.095,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9193,,,,,,,,,0.0,,,,,,88568.8382,16.0,,,,,,,,,,,,,,,,,0.0,11231.206033988192
